datahora,ativo,sinal_robo,preco_entrada,padrao,confianca,motivo,sinal_ideal_n1,resultado,lucro_pips_n1,pendente
2025-08-18 00:40:00,EURUSD,0,1.17123,RandomForest:0|XGBoost:0|LSTM:1,0.84,random_forest:0|Conf:0.84|ConfEff:0.42|xgboost:0|Conf:0.90|ConfEff:0.35|lstm:1|Conf:0.79|ConfEff:0.79|SNIPER:BLOCK|mp=0.506; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:40:00,GBPUSD,0,1.3554,RandomForest:0|XGBoost:0|LSTM:1,0.76,random_forest:0|Conf:0.61|ConfEff:0.30|xgboost:0|Conf:0.86|ConfEff:0.35|lstm:1|Conf:0.80|ConfEff:0.80|SNIPER:BLOCK|mp=0.551; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:45:00,EURUSD,0,1.17123,RandomForest:0|XGBoost:0|LSTM:1,0.83,random_forest:0|Conf:0.78|ConfEff:0.39|xgboost:0|Conf:0.91|ConfEff:0.35|lstm:1|Conf:0.81|ConfEff:0.81|SNIPER:BLOCK|mp=0.522; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:45:00,GBPUSD,0,1.35555,RandomForest:0|XGBoost:0|LSTM:1,0.78,random_forest:0|Conf:0.67|ConfEff:0.34|xgboost:0|Conf:0.88|ConfEff:0.35|lstm:1|Conf:0.78|ConfEff:0.78|SNIPER:BLOCK|mp=0.533; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:50:00,EURUSD,0,1.17118,RandomForest:0|XGBoost:0|LSTM:1,0.86,random_forest:0|Conf:0.80|ConfEff:0.40|xgboost:0|Conf:0.96|ConfEff:0.35|lstm:1|Conf:0.82|ConfEff:0.82|SNIPER:BLOCK|mp=0.521; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:50:00,GBPUSD,0,1.35568,RandomForest:0|XGBoost:0|LSTM:1,0.77,random_forest:0|Conf:0.66|ConfEff:0.33|xgboost:0|Conf:0.89|ConfEff:0.35|lstm:1|Conf:0.76|ConfEff:0.76|SNIPER:BLOCK|mp=0.527; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:55:00,EURUSD,0,1.17125,RandomForest:0|XGBoost:0|LSTM:1,0.85,random_forest:0|Conf:0.77|ConfEff:0.31|xgboost:0|Conf:0.97|ConfEff:0.26|lstm:1|Conf:0.80|ConfEff:0.80|SNIPER:BLOCK|mp=0.585; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 00:55:00,GBPUSD,0,1.3556,RandomForest:0|XGBoost:0|LSTM:1,0.74,random_forest:0|Conf:0.63|ConfEff:0.25|xgboost:0|Conf:0.83|ConfEff:0.26|lstm:1|Conf:0.78|ConfEff:0.78|SNIPER:BLOCK|mp=0.602; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 01:00:00,EURUSD,0,1.17113,RandomForest:0|XGBoost:0|LSTM:1,0.82,random_forest:0|Conf:0.82|ConfEff:0.33|xgboost:0|Conf:0.96|ConfEff:0.26|lstm:1|Conf:0.68|ConfEff:0.68|SNIPER:BLOCK|mp=0.537; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 01:00:00,GBPUSD,0,1.35602,RandomForest:0|XGBoost:0|LSTM:1,0.71,random_forest:0|Conf:0.60|ConfEff:0.24|xgboost:0|Conf:0.83|ConfEff:0.26|lstm:1|Conf:0.71|ConfEff:0.71|SNIPER:BLOCK|mp=0.586; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 01:05:00,EURUSD,0,1.17111,RandomForest:0|XGBoost:0|LSTM:1,0.86,random_forest:0|Conf:0.81|ConfEff:0.32|xgboost:0|Conf:0.99|ConfEff:0.26|lstm:1|Conf:0.80|ConfEff:0.80|SNIPER:BLOCK|mp=0.577; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 01:05:00,GBPUSD,0,1.35582,RandomForest:0|XGBoost:0|LSTM:1,0.76,random_forest:0|Conf:0.61|ConfEff:0.24|xgboost:0|Conf:0.90|ConfEff:0.26|lstm:1|Conf:0.76|ConfEff:0.76|SNIPER:BLOCK|mp=0.601; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 01:10:00,EURUSD,0,1.17104,RandomForest:0|XGBoost:0|LSTM:1,0.86,random_forest:0|Conf:0.88|ConfEff:0.35|xgboost:0|Conf:0.96|ConfEff:0.26|lstm:1|Conf:0.72|ConfEff:0.72|SNIPER:BLOCK|mp=0.541; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 01:10:00,GBPUSD,0,1.35596,RandomForest:0|XGBoost:0|LSTM:1,0.68,random_forest:0|Conf:0.64|ConfEff:0.26|xgboost:0|Conf:0.73|ConfEff:0.26|lstm:1|Conf:0.68|ConfEff:0.68|SNIPER:BLOCK|mp=0.570; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-18 01:15:00,EURUSD,0,1.17113,RandomForest:0|XGBoost:0|LSTM:1,0.86,random_forest:0|Conf:0.85|ConfEff:0.34|xgboost:0|Conf:0.99|ConfEff:0.26|lstm:1|Conf:0.74|ConfEff:0.74|SNIPER:BLOCK|mp=0.551; Score_Reforco=0.0,0,neutro,0.0,False
